pdtsc_135_3.04.t##7.3	Oni <<verb:jeli>> <<prep:s>> rodinou <<f%MEANS:škodovkou>> 1203 , to je ta bývalá sanitka , a v té byli jako celá rodina - má dvě děti . 	ACMP	community
pdtsc_027_1.08.t##7.1	Svačiny si <<verb:bereme>> <<prep:s>> <<f%MANN:sebou>> . 	MANN	idiom
wsj0598.cz.t##13.9	Toto prohlášení rozhořčilo předsedu Greenspana , ale Bushova administrativa i finanční burzy ho <<prep:s>> <<f%MANN:radostí>> <<verb:uvítaly>> . 	MANN	of-event
ln95048_051.t##89.1	Prý bychom <<verb:dojeli>> do Nairobi <<prep:s>> přílišným <<f%ACMP:zpožděním>> . 	MANN	of-result
pdtsc_017_2.03.t##14.16	Akorát jsme ještě nevěděli , jak to uděláme se psem , jestli bude moct jít nebo nebude moct <<verb:jít>> <<prep:s>> <<f%ACMP:námi>> . 	ACMP	community
wsj2106.cz.t##16.10	Je to hudba pro lidi , kteří chtějí slyšet něco odlišného , ale nechtějí se <<prep:s>> <<f%MEANS:tím>> nijak zvlášť <<verb:zatěžovat>> . 	MEANS	tool-abstract		
pdtsc_020_1.00.t##8.1	<<verb:Začněme>> třeba <<prep:s>> <<f%ACMP:touhle>> . 	OTHER	other		
wsj1677.cz.t##50.10	A jestliže je uživatel zaneprázdněn , " může produkt nastavit do krizového módu : ' <<verb:Neobtěžujte>> mě <<prep:se>> <<f%MEANS:zprávami>> do pondělí ' " . 	MEANS	tool-abstract	MEANS	tool
pdtsc_043_2.09.t##6.7	Někdy jí ten tlak vylítne a <<verb:má>> <<prep:s>> <<f%REG:tím>> dost běhání po nemocnicích . 	COND	because
wsj1274.cz.t##36.1	Společnost Jim Beam Brands <<verb:vytvořila>> společný distribuční podnik <<prep:s>> <<f%ACMP:lihovarem>> Nikka Whiskey Co . 	ACMP	community
mf930709_053.t##16.18	" Chceme uvádět loutkové divadlo do širších souvislostí , se stejnou prestiží a respektem , <<prep:s>> <<f%ACMP:jakými>> se <<verb:díváme>> na ostatní druhy umění , " říká o zaměření institutu Josef Krofta . 	MANN	of-event
wsj1567.cz.t##45.1	Poté <<verb:rozeslal>> pejskovu fotografii <<prep:s>> <<f%ACMP:potvrzením>> o členství - vydaném na jméno " Boris ' Bo ' Regaard " - všem možným novinám . ) 	CIRC	side-effect	ACMP	association
pdtsc_046_1.01.t##41.3	Zkoušeli jsme <<verb:skákat>> <<prep:s>> <<f%MEANS:padákem>> , když byla , dá se říct , letecká mánie . 	MEANS	tool	MEANS	transport
ln94209_56.t##40.3	Naučil jsem se <<verb:dělat>> <<prep:s>> <<f%MEANS:pilou>> v lese . 	MEANS	tool
pdtsc_039_1.03.t##37.2	Potom se smělo <<verb:vzít>> <<prep:s>> <<f%LOC:sebou>> padesát kilo na osobu , tak jsme brali oblečení . 	MANN	idiom
ln94210_130.t##16.27	Roman působí , jak známo , v Tampa Bay Lightning , méně úspěšný Martin se loni neprosadil do prvního mužstva Hartfordu a přestoupil do St . Louis , kde ho <<prep:s>> největší <<f%MOD:pravděpodobností>> opět <<verb:čeká>> farmářský tým . 	MOD	mod		
wsj0954.cz.t##1.1	C . Hyde Tucker se <<prep:s>> <<f%MANN:platností>> od 1 . ledna <<verb:stane>> prezidentem a generálním ředitelem společnosti Bell Atlantic International Inc . , jednotky tohoto telekomunikačního koncernu . 	TSIN	validity	OTHER	other
pdtsc_017_2.00.t##48.1	<<verb:Bydlela>> jsem <<prep:s>> tou <<f%ACMP:dívkou>> v přízemí . 	ACMP	community
wsj0944.cz.t##22.4	Soudce Oakes <<verb:pojal>> případ Salinger <<prep:s>> úplně rozdílným <<f%ACMP:názorem>> , přičemž poukázal na to , že žijící osoba , jakou je například Salinger , má právo na soukromí , které se netýká zesnulé osoby , jakou je například Hubbard . 	MANN	of-event
pdtsc_146_2.02.t##10.1	Pak jsme <<verb:chodili>> na různé akce hodně <<prep:se>> <<f%ACMP:sokolem>> . 	OTHER	other	ACMP	community
pdtsc_115_3.14.t##9.1	<<verb:Měly>> jsme <<prep:s>> <<f%MANN:sebou>> vždycky , pamatuju si to jako dneska , dva krajíce chleba namazané sádlem , máslem ne , protože bylo teplo , a dvě na tvrdo uvařené vajíčka . 	MANN	idiom
pdtsc_051_2.07.t##17.8	Mě to ale s nimi docela bavilo , <<verb:jezdili>> jsme <<prep:s>> <<f%ACMP:nimi>> na výlety . 	ACMP	community
